en	How much wood would a woodchuck chuck if a woodchuck could chuck wood?
en	That beer please!
en	These bears are unbearable
en	We are sinking, we are sinking
en	What are you thinking about?
en	I'll be back
en	She sells sea-shells on the sea-shore.
en	We surely shall see the sun shine soon.
en	How can a clam cram in a clean cream can?
en	The thirty-three thieves thought that they thrilled the throne throughout Thursday.
en	Can you can a can as a canner can can a can?
es	Vamos a la playa!
es	¿Cómo te llamas?
es	Tiene arroz con pollo?
es	Una mesa para quarto, por favor.
es	Puedo pagar con un cheque de viajero?
es	Quisiera un billete de ida y vuelta.
es	¿Necesito tener cambio exacto?
es	Estoy visitando a mis familiares.
es	¿Podría usted hablar más despacio por favor?
es	¿Dónde está el baño?
es	Necesito llamar a la embajada
es	Por favor, hubo un malentendido.
es	No he hecho nada malo.
es	Quiero hablar con un abogado.
Latin	Cogito ergo sum
Latin	Homo homini lupus est
ru	Белеет парус одинокий. В тумане моря голубом!
ru	Октябрь уж наступил — уж роща отряхает
ru	Я не говорю по-русски
ru	Кто-нибудь здесь говорит по-английски?
ru	Я вызову полицию!
ru	Мне нужна ваша помощь.
ru	Можно от вас позвонить?
ru	Вы можете предложить другую гостиницу?
ru	Уберите в моей комнате, пожалуйста.
ru	Завтрак включен?
ru	Столик на двух человек.
ru	Я принимаю только кошерную пищу.
ru	Это было великолепно.
ru	Я ничего плохого не делал.
ru	Мы друг друга не поняли.
ru	Куда вы меня везёте?
ru	Я могу заплатить штраф сейчас?
ru	Я хочу поговорить с адвокатом.
hu	Talpra magyar, hí a haza! Itt az idő, most vagy soha!
hu	Jó napot kívánok
hu	Köszönöm szépen
hu	A fehér ló
hu	Beszél itt valaki angolul?
hu	Hívom a rendőrséget.
hu	Használhatom a telefonját?
hu	Mennyibe kerül egy szoba egy személyre?
hu	Van valami csendesebb?
hu	Fekete bikapata kopog a pepita patika köveken.
de	Nett, Sie kennen zu lernen.
de	Gibt es hier jemanden, der Englisch spricht?
de	Lassen Sie mich in Ruhe .
de	Ich habe meine Tasche verloren.
de	Kann ich dein Handy benutzen?
de	Könnten Sie es bitte nicht so fett machen?
de	Gibt es eine Spezialität aus dieser Gegend?
de	Haben Sie alkoholische Getränke?
de	Haben Sie das in meiner Größe?
de	Geschwindigkeitsbeschränkung
de	Kann ich jetzt einfach eine Strafe zahlen?
de	Das war ein Missverständnis.
fi	Helposti saatu on helposti menetetty
fi	Hyvää ruokahalua, saippuakivikauppias!
fi	Haluaisitko tanssia kanssani?
fi	Hyvää joulua ja onnellista uutta vuotta
fi	Miten paljon olisi huone kahdelle hengelle?
fi	Olkaa hyvä ja siivotkaa huoneeni.
fi	Hyväksyttekö Britannian puntia?
fi	Onko teillä paikallisia erikoisuuksia?
fi	Lähetättekö tavaroita myös ulkomaille?
fi	En ole tehnyt mitään väärää.
fi	Haluan puhua USA:n konsulaatin kanssa.
fi	Se oli väärinkäsitys.
nl	Ik heb mijn bagage verloren.
nl	Mag ik uw telefoon gebruiken?
nl	Genk ontstond uit een Keltische nederzetting.
nl	Ik spreek niet goed Nederlands.
nl	Spreekt hier iemand Engels?
nl	Hoe kom ik bij de luchthaven?
nl	Waar zijn er veel bezienswaardigheden?
nl	Kunt u mij dat tonen op de kaart?
nl	Breng me erheen, alstublieft.
nl	Hoeveel kost een tweepersoonskamer?
nl	Kunt u mijn kamer schoonmaken.
nl	Waar kan ik geld wisselen?
nl	Waar vind ik een geldautomaat?
nl	Is er een specialiteit van het huis?
nl	Een glas witte wijn, alstublieft.
nl	Wat doet een lief meisje als jij op een plaats als deze?
nl	Kan ik gewoon nu een boete betalen?
fr	Voulez-vous coucher avec moi (ce soir)?
fr	Je ne parle pas bien français.
fr	Est-ce qu'il y a quelqu'un ici qui parle anglais?
fr	Puis-je utiliser votre téléphone?
fr	Comment vous appelez vous ?
fr	J'ai perdu mon portefeuille.
fr	Où se trouve la gare?
fr	Amenez-moi là, je vous prie.
fr	Acceptez-vous les dollars américains?
fr	Pouvez-vous me faire le change ?
fr	Où puis-je trouver un distributeur de billets ?
fr	Pouvez-vous débarrasser la table, s'il vous plaît?
fr	À quelle heure fermez-vous ?
fr	Avez-vous ceci dans ma taille ?
fr	Je ne suis pas intéressé.
fr	Suis-je en état d'arrestation?
fr	Pourrais-je simplement payer une amende?
sv	Talar någon engelska här?
sv	jag pratar väldigt lite svenska
sv	Jag har förlorat min plånbok.
sv	Får jag låna din telefon?
sv	Kan du visa mig på kartan?
sv	Kan du föreslå ett annat hotell?
tr	İyiyim, teşekkür ederim!
Euskara	Astiro-astiro hitz egin mesedez
sr	Možete li da mi pomognete?
ro	Această doamnă va plăti pentru tot
ro	Pot să utilizez telefonul dumneavoastra?
ro	Cum te cheamă?
ro	Vorbeşte cineva aici engleză?
ro	Lasă-mă în pace
ro	Am nevoie de ajutorul tău
ro	Cât costa o cameră pentru o persoană?
ro	Nu mănânc carne de porc.
ro	Aveţi asta în măsura mea?
ro	Aş dori să închiriez o maşină.
ro	Vreau să vorbesc cu un avocat.
pt	Qual é seu nome?
pt	Desculpe-me, eu não falo português muito bem.
pt	Eu poderia usar o telefone?
nb	jeg har et spørsmål
it	L'italia è un paese meraviglioso.
it	Quando ci incontriamo?
it	È un'emergenza.
it	Posso usare il suo telefono?
it	Ho bisogno di un dottore.
it	Posso prima vedere la stanza?
it	A che ora è la prima colazione?
it	Potete cambiare del denaro per me?
it	Un tavolo per due, per favore.
it	Posso vedere il menu, per favore?
it	C'è una specialità della casa?
it	Posso dare un'occhiata in cucina?
it	Un bicchiere di vino bianco, per favore.
it	Avete questo nella mia taglia?
it	Desidero noleggiare una macchina.
it	Non ho fatto nulla di male.
it	È stato un malinteso.
it	Dove mi state portando?
it	Sono in arresto?
it	Posso semplicemente pagare una multa adesso?
is	Langt síðan við höfum sést
is	Hvaðan kemur þú?
is	Eitt tungumál er aldrei nóg
cs	Jak se jmenuješ
cs	S dovolením, kolik to stoji?
cs	Potřebuji vaši pomoc.
cs	Mohu použít váš telefon?
cs	Kam jede tento autobus?
cs	Můžete mi ukázat na mapě?
cs	Kolik stojí pokoj pro dvě osoby?
cs	Ukliďte mi prosím pokoj.
cs	Kde si můžu směnit peníze?
cs	Vím, že tohle není běžná cena.
cs	Neudělal jsem nic špatného.
cs	To bylo nedorozumění.
cs	Strč prst skrz krk
cs	Prd krt skrz drn, zprv zhlt hrst zrn
bg	Ти си добре дошъл!
bg	Вървете направо! После завивате на ляво!
bg	Искаш ли да ходим на театър?
bg	Говорите ли български?
et	elas metsas mutionu, keset kuuski noori-vanu
et	põdral maja metsa sees, väiksest aknast välja vaatas
pl	Jak się masz?
pl	Dziękuję, dobrze.
pl	Czy ktoś tu mówi po angielsku?
pl	Nie rozumiem
pl	Czy mogę zadzwonić od pani?
pl	Ile kosztuje pokój dla dwóch osób?
pl	Czy jest w moim rozmiarze?
pl	Czy mogę dostać ubezpiecznie?
pl	Czy jestem aresztowany?
pl	Chcę rozmawiać przez tłumacza języka angielskiego.
ca	Que hi ha algú que parli anglès?
ca	He perdut la meva cartera
ca	Puc utilitzar el seu telèfon?
ca	Com ho faig per arribar a a l'estació d'autobusos?
ca	Pots indicar-me al mapa?
ca	Teniu alguna habitació disponible?
ca	Si us plau, netegeu la meva habitació.
ca	Teniu cap especialitat de la casa?
ca	Teniu això en la meva talla?
ca	Puc simplement pagar una multa ara?
